data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2025-07-12,TikTok Ads,24686,0,47.25,0.0,0.0,0.0,0.0,1.91,0.0,0.0
2025-07-13,TikTok Ads,24549,0,46.25,0.0,0.0,0.0,0.0,1.88,0.0,0.0
2025-07-14,TikTok Ads,25784,0,48.1,0.0,0.0,0.0,0.0,1.87,0.0,0.0
2025-07-15,TikTok Ads,23089,0,46.36,0.0,0.0,0.0,0.0,2.01,0.0,0.0
2025-07-16,TikTok Ads,32724,0,72.87,0.0,0.0,0.0,0.0,2.23,0.0,0.0
2025-07-17,TikTok Ads,41912,0,95.21,0.0,0.0,0.0,0.0,2.27,0.0,0.0
2025-07-18,TikTok Ads,65910,0,155.6,0.0,0.0,0.0,0.0,2.36,0.0,0.0
2025-07-19,TikTok Ads,73411,0,178.23,0.0,0.0,0.0,0.0,2.43,0.0,0.0
2025-07-20,TikTok Ads,47937,0,111.34,0.0,0.0,0.0,0.0,2.32,0.0,0.0
2025-07-21,TikTok Ads,40398,0,91.42,0.0,0.0,0.0,0.0,2.26,0.0,0.0
2025-07-22,TikTok Ads,38106,0,85.97,0.0,0.0,0.0,0.0,2.26,0.0,0.0
2025-07-23,TikTok Ads,39206,0,88.03,0.0,0.0,0.0,0.0,2.25,0.0,0.0
2025-07-24,TikTok Ads,36813,0,80.26,0.0,0.0,0.0,0.0,2.18,0.0,0.0
2025-07-25,TikTok Ads,34404,0,79.91,0.0,0.0,0.0,0.0,2.32,0.0,0.0
2025-07-26,TikTok Ads,32185,0,77.43,0.0,0.0,0.0,0.0,2.41,0.0,0.0
2025-07-27,TikTok Ads,30954,0,70.8,0.0,0.0,0.0,0.0,2.29,0.0,0.0
2025-07-28,TikTok Ads,27894,0,59.58,0.0,0.0,0.0,0.0,2.14,0.0,0.0
2025-07-29,TikTok Ads,25839,0,54.23,0.0,0.0,0.0,0.0,2.1,0.0,0.0
2025-07-30,TikTok Ads,17610,0,38.62,0.0,0.0,0.0,0.0,2.19,0.0,0.0
2025-07-31,TikTok Ads,15120,0,33.19,0.0,0.0,0.0,0.0,2.2,0.0,0.0
2025-08-01,TikTok Ads,20947,0,40.27,0.0,0.0,0.0,0.0,1.92,0.0,0.0
2025-08-02,TikTok Ads,21205,0,40.26,0.0,0.0,0.0,0.0,1.9,0.0,0.0
2025-08-03,TikTok Ads,21071,0,38.95,0.0,0.0,0.0,0.0,1.85,0.0,0.0
2025-08-04,TikTok Ads,19472,0,37.41,0.0,0.0,0.0,0.0,1.92,0.0,0.0
2025-08-05,TikTok Ads,17605,0,35.98,0.0,0.0,0.0,0.0,2.04,0.0,0.0
2025-08-06,TikTok Ads,16804,0,37.26,0.0,0.0,0.0,0.0,2.22,0.0,0.0
2025-08-07,TikTok Ads,18197,0,37.44,0.0,0.0,0.0,0.0,2.06,0.0,0.0
2025-08-08,TikTok Ads,17109,0,37.27,0.0,0.0,0.0,0.0,2.18,0.0,0.0
2025-08-09,TikTok Ads,17390,0,37.57,0.0,0.0,0.0,0.0,2.16,0.0,0.0
2025-08-10,TikTok Ads,18072,0,37.09,0.0,0.0,0.0,0.0,2.05,0.0,0.0
2025-08-11,TikTok Ads,16940,0,34.59,0.0,0.0,0.0,0.0,2.04,0.0,0.0
2025-08-12,TikTok Ads,16686,0,35.32,0.0,0.0,0.0,0.0,2.12,0.0,0.0
2025-08-13,TikTok Ads,16950,0,35.27,0.0,0.0,0.0,0.0,2.08,0.0,0.0
2025-08-14,TikTok Ads,18134,0,34.89,0.0,0.0,0.0,0.0,1.92,0.0,0.0
2025-08-15,TikTok Ads,16791,0,34.75,0.0,0.0,0.0,0.0,2.07,0.0,0.0
2025-08-16,TikTok Ads,17279,0,35.97,0.0,0.0,0.0,0.0,2.08,0.0,0.0
2025-08-17,TikTok Ads,16561,0,33.37,0.0,0.0,0.0,0.0,2.01,0.0,0.0
2025-08-18,TikTok Ads,14995,0,32.09,0.0,0.0,0.0,0.0,2.14,0.0,0.0
2025-08-19,TikTok Ads,14522,0,32.88,0.0,0.0,0.0,0.0,2.26,0.0,0.0
2025-08-20,TikTok Ads,13772,0,32.31,0.0,0.0,0.0,0.0,2.35,0.0,0.0
2025-08-21,TikTok Ads,13859,0,30.41,0.0,0.0,0.0,0.0,2.19,0.0,0.0
2025-08-22,TikTok Ads,12505,0,28.96,0.0,0.0,0.0,0.0,2.32,0.0,0.0
2025-08-23,TikTok Ads,12960,0,29.35,0.0,0.0,0.0,0.0,2.26,0.0,0.0
2025-08-24,TikTok Ads,13012,0,27.39,0.0,0.0,0.0,0.0,2.1,0.0,0.0
2025-08-25,TikTok Ads,9838,0,22.79,0.0,0.0,0.0,0.0,2.32,0.0,0.0
2025-08-26,TikTok Ads,9640,0,22.59,0.0,0.0,0.0,0.0,2.34,0.0,0.0
2025-08-27,TikTok Ads,10539,0,25.59,0.0,0.0,0.0,0.0,2.43,0.0,0.0
2025-08-28,TikTok Ads,11318,0,25.42,0.0,0.0,0.0,0.0,2.25,0.0,0.0
2025-08-29,TikTok Ads,20818,0,46.12,0.0,0.0,0.0,0.0,2.22,0.0,0.0
2025-08-30,TikTok Ads,23691,0,53.24,0.0,0.0,0.0,0.0,2.25,0.0,0.0
2025-08-31,TikTok Ads,20752,0,45.57,0.0,0.0,0.0,0.0,2.2,0.0,0.0
