plataforma,tipo,segmento,impressoes,cliques,custo,conversoes,cpa,ctr
Google Ads,faixa_etaria,503004,228,96,1.574461,36.833335,0.04274554557712464,42.10526315789473
Google Ads,faixa_etaria,503004,216,70,1.322906,24.075758,0.05494763653962629,32.407407407407405
Google Ads,faixa_etaria,503004,198,74,1.493756,34.576923,0.04320095226518566,37.37373737373738
Google Ads,faixa_etaria,503004,223,72,1.402107,18.336379,0.07646586057149014,32.28699551569507
Google Ads,faixa_etaria,503004,209,129,2.271588,69.6875,0.03259677847533632,61.72248803827751
Google Ads,faixa_etaria,503004,168,92,1.356227,32.257167,0.04204420679596568,54.761904761904766
Google Ads,faixa_etaria,503004,268,117,1.888556,40.844682,0.04623750039233994,43.656716417910445
Google Ads,faixa_etaria,503004,213,93,1.656533,36.196345,0.0457652008787075,43.66197183098591
Google Ads,faixa_etaria,503004,97,30,0.407628,10.231393,0.039840909248623324,30.927835051546392
Google Ads,faixa_etaria,503004,66,21,0.446393,10.833334,0.04120550515658429,31.818181818181817
Google Ads,faixa_etaria,503004,124,46,0.96057,15.090909,0.06365222929910981,37.096774193548384
Google Ads,faixa_etaria,503004,169,76,2.559277,35.916666,0.0712559734803893,44.97041420118343
Google Ads,faixa_etaria,503004,164,48,2.212843,26.15909,0.08459174229684595,29.268292682926827
Google Ads,faixa_etaria,503004,104,29,2.256347,16.0,0.1410216875,27.884615384615387
Google Ads,faixa_etaria,503004,123,33,5.922521,14.09091,0.4203079148188442,26.82926829268293
Google Ads,faixa_etaria,503004,88,38,2.675097,12.0,0.22292475,43.18181818181818
Google Ads,faixa_etaria,503004,125,31,2.593513,10.0,0.2593513,24.8
Google Ads,faixa_etaria,503004,189,51,6.318922,20.5,0.3082400975609756,26.984126984126984
Google Ads,faixa_etaria,503004,346,116,15.447869,48.325757,0.3196611902013247,33.52601156069364
Google Ads,faixa_etaria,503004,340,80,11.513948,20.083333,0.5733086236233796,23.52941176470588
Google Ads,faixa_etaria,503004,134,33,3.678346,10.0,0.3678346,24.62686567164179
Google Ads,faixa_etaria,503004,195,51,8.945487,17.0,0.5262051176470588,26.153846153846157
Google Ads,faixa_etaria,503004,164,47,5.252554,15.0,0.3501702666666667,28.65853658536585
Google Ads,faixa_etaria,503004,203,41,5.735177,20.0,0.28675885,20.19704433497537
Google Ads,faixa_etaria,503004,254,59,7.796294,3.0,2.5987646666666664,23.228346456692915
Google Ads,faixa_etaria,503004,397,115,18.243957,6.0,3.0406595000000003,28.967254408060455
Google Ads,faixa_etaria,503004,463,121,16.631067,0.0,0.0,26.13390928725702
Google Ads,faixa_etaria,503005,52,20,0.321262,11.0,0.029205636363636364,38.46153846153847
Google Ads,faixa_etaria,503005,60,19,0.341703,8.666668,0.03942726316503643,31.666666666666664
Google Ads,faixa_etaria,503005,63,28,1.197724,9.952383,0.12034544892414209,44.44444444444444
Google Ads,faixa_etaria,503005,62,24,0.445256,9.481481,0.046960596134717765,38.70967741935484
Google Ads,faixa_etaria,503005,41,20,0.405144,10.5,0.03858514285714286,48.78048780487805
Google Ads,faixa_etaria,503005,67,20,0.662527,7.666666,0.08641657273187589,29.850746268656714
Google Ads,faixa_etaria,503005,34,14,0.34,3.5,0.09714285714285716,41.17647058823529
Google Ads,faixa_etaria,503005,83,38,0.605256,14.374998,0.04210477107544641,45.78313253012048
Google Ads,faixa_etaria,503005,55,19,0.47,8.505953,0.05525541935159999,34.54545454545455
Google Ads,faixa_etaria,503005,75,28,0.675168,16.166667,0.041762968211072816,37.333333333333336
Google Ads,faixa_etaria,503005,107,40,0.817528,30.5,0.026804196721311478,37.38317757009346
Google Ads,faixa_etaria,503005,68,20,0.43,11.0,0.03909090909090909,29.411764705882355
Google Ads,faixa_etaria,503005,47,26,0.479832,5.0,0.0959664,55.319148936170215
Google Ads,faixa_etaria,503005,65,39,0.867628,10.0,0.0867628,60.0
Google Ads,faixa_etaria,503005,53,22,0.405256,8.333333,0.04863072194522888,41.509433962264154
Google Ads,faixa_etaria,503005,37,28,0.661738,12.909091,0.05126139400520145,75.67567567567568
Google Ads,faixa_etaria,503005,40,17,0.447628,8.333333,0.05371536214861449,42.5
Google Ads,faixa_etaria,503005,65,20,0.73,9.0,0.0811111111111111,30.76923076923077
Google Ads,faixa_etaria,503005,61,14,0.41,6.0,0.06833333333333333,22.950819672131146
Google Ads,faixa_etaria,503005,42,24,0.346143,8.5,0.04072270588235294,57.14285714285714
Google Ads,faixa_etaria,503005,58,24,0.79,15.285716,0.05168223719451545,41.37931034482759
Google Ads,faixa_etaria,503005,49,19,0.52,14.98052,0.034711745653688925,38.775510204081634
Google Ads,faixa_etaria,503005,44,16,0.3,7.421571,0.040422708345712786,36.36363636363637
Google Ads,faixa_etaria,503005,33,13,0.33,5.578429,0.05915643992242261,39.39393939393939
Google Ads,faixa_etaria,503005,9,10,0.1,1.071428,0.09333338311113766,111.11111111111111
Google Ads,faixa_etaria,503005,55,37,0.432526,19.071428,0.022679266597131584,67.27272727272727
Google Ads,faixa_etaria,503005,25,9,0.203101,2.0,0.1015505,36.0
Google Ads,faixa_etaria,503005,30,19,0.227628,9.015154,0.02524948547745274,63.33333333333333
Google Ads,faixa_etaria,503005,51,16,0.238932,11.257576,0.02122410721455489,31.372549019607842
Google Ads,faixa_etaria,503005,41,16,0.3,3.90909,0.0767442038940009,39.02439024390244
Google Ads,faixa_etaria,503005,43,8,0.13,2.742424,0.04740331910747572,18.6046511627907
Google Ads,faixa_etaria,503005,79,32,0.466153,9.833334,0.04740538661658395,40.50632911392405
Google Ads,faixa_etaria,503005,64,42,0.58865,22.0,0.026756818181818184,65.625
Google Ads,faixa_etaria,503005,81,40,0.527699,14.049999,0.03755865036004629,49.382716049382715
Google Ads,faixa_etaria,503005,86,33,0.416192,4.75,0.08761936842105263,38.372093023255815
Google Ads,faixa_etaria,503005,44,19,0.255256,5.0,0.0510512,43.18181818181818
Google Ads,faixa_etaria,503005,42,18,0.17,2.333333,0.07285715326530762,42.857142857142854
Google Ads,faixa_etaria,503005,42,12,0.359277,1.7,0.2113394117647059,28.57142857142857
Google Ads,faixa_etaria,503005,46,19,0.754128,11.0,0.06855709090909091,41.30434782608695
Google Ads,faixa_etaria,503005,76,35,1.462092,8.5,0.17201082352941177,46.05263157894737
Google Ads,faixa_etaria,503005,56,18,1.41,10.0,0.141,32.142857142857146
Google Ads,faixa_etaria,503005,38,6,0.329499,2.0,0.1647495,15.789473684210526
Google Ads,faixa_etaria,503005,68,16,1.366074,5.0,0.2732148,23.52941176470588
Google Ads,faixa_etaria,503005,49,18,1.449728,7.2,0.2013511111111111,36.734693877551024
Google Ads,faixa_etaria,503005,64,19,1.017548,4.2,0.24227333333333329,29.6875
Google Ads,faixa_etaria,503005,73,19,4.028362,7.0,0.5754802857142858,26.027397260273972
Google Ads,faixa_etaria,503005,89,22,3.483394,8.4,0.4146897619047619,24.719101123595504
Google Ads,faixa_etaria,503005,111,23,4.52288,11.74167,0.3851990389782714,20.72072072072072
Google Ads,faixa_etaria,503005,66,11,1.098229,5.0,0.21964579999999997,16.666666666666664
Google Ads,faixa_etaria,503005,50,14,1.495656,4.0,0.373914,28.000000000000004
Google Ads,faixa_etaria,503005,76,21,2.094257,3.0,0.6980856666666666,27.631578947368425
