plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,ALC - Kopenhagen,187056,218.61,8908.0,2991.0,1441.0,876.0,,
Meta Ads,ALC - Lelis,93841,111.61,3066.0,1126.0,641.0,450.0,,
Meta Ads,TRAF - CAMPANHA IPHONE,495774,999.94,2362.0,1840.0,1252.0,980.0,,
Meta Ads,ALC - Shoulder,183886,249.82,6636.0,1977.0,1014.0,427.0,,
Meta Ads,ALC - Clube do Livro,217784,299.95,24767.0,9828.0,5337.0,3407.0,,
Meta Ads,ALC - PROMO MAES 26,71804,130.69,928.0,665.0,579.0,215.0,,
Meta Ads,TRAF - PROMO MAES 26,27922,127.79,3807.0,3336.0,3070.0,1635.0,,
Meta Ads,ALC - ANÚNCIOS NR,53275,86.93,646.0,252.0,105.0,59.0,,
Meta Ads,ALC - BFS BS,25854,50.01,90.0,20.0,13.0,7.0,,
Meta Ads,ALC - Diabo veste prada,8657,17.29,284.0,171.0,96.0,37.0,,
Meta Ads,ALC - Gastronomia — AON,161296,237.13,760.0,221.0,101.0,71.0,,
Meta Ads,ALC - PROMO MAES 26,176227,285.58,1369.0,331.0,174.0,93.0,,
Meta Ads,TRAF - PROMO MAES 26,62910,301.5,7987.0,6884.0,6234.0,3479.0,,
Meta Ads,ALC - ANÚNCIOS NR,129017,190.58,2537.0,1068.0,427.0,263.0,,
Meta Ads,ALC - BFS BS,579662,823.3,1112.0,225.0,123.0,76.0,,
Meta Ads,ALC - Diabo veste prada,182685,277.63,6275.0,3579.0,1760.0,533.0,,
Meta Ads,ALC - PROMO MAES BS,159795,255.79,2392.0,1014.0,352.0,238.0,,
Meta Ads,ALC - TRANSMISSAO BFS,639074,901.58,,,,,,
Meta Ads,ALC - COBASI,34002,56.74,103.0,40.0,20.0,12.0,,
Meta Ads,ALC | Moda Feminina,119786,211.27,1381.0,595.0,218.0,135.0,,
Meta Ads,ALC | Moda masculina,119332,210.5,1545.0,484.0,262.0,176.0,,
Meta Ads,ALC - Lojas - Inauguração/ Gastronomia,118188,210.67,1893.0,662.0,378.0,200.0,,
Meta Ads,ALC - Lojas - Diversão,117177,210.84,,,,,,
Meta Ads,ALC - Inauguração Allmini,123093,224.55,,,,,,
Meta Ads,ALC - Natal Noel Decor,179227,338.83,1089.0,279.0,143.0,92.0,,
Meta Ads,ALC - Torneio de Futebol de Mesa,34936,65.68,,,,,,
Meta Ads,TRAF - PATATIPATATA,549,3.31,,,,,,
Meta Ads,ALC - NATAL 25,357847,588.84,1966.0,615.0,326.0,226.0,,
Meta Ads,ALC - PATATIPATATA,2062,3.47,,,,,,
Meta Ads,TRAF - NATAL 25,133624,668.92,1023.0,503.0,331.0,144.0,,
Meta Ads,[ALC - Cine Materna],45148,79.99,,,,,,
Meta Ads,ALC - Senhora Farinha,246433,466.66,17103.0,9506.0,3889.0,919.0,,
Meta Ads,ALC - ESQUENTA VOLKSFRIENDS,83714,149.97,,,,,,
Meta Ads,ENG - PET DAY,9744,100.0,289.0,129.0,85.0,63.0,,
Meta Ads,ALC - Cidadania Já,59462,106.68,925.0,350.0,175.0,66.0,,
Meta Ads,Black Friday - NR,496643,1000.0,729.0,212.0,114.0,67.0,,
Meta Ads,ALC - Torneio de Poker - NR,35154,66.84,371.0,98.0,54.0,34.0,,
Meta Ads,ALC - Feirão Regional do Banco Omni,104507,199.98,,,,,,
Meta Ads,ALC - Nova Arezzo,72553,195.82,,,,,,
Meta Ads,ALC- Diário da lancheira,23785,46.77,,,,,,
Meta Ads,ALC - Patrulha Canina,136936,274.34,,,,,,
Meta Ads,ALC - MILENINHA NR,715921,2000.0,16012.0,2618.0,1303.0,622.0,,
Meta Ads,ALC - CHURRAS,42809,88.03,,,,,,
Meta Ads,ENG - CHURRAS NR,2281,72.0,,,,,,
Meta Ads,ALC | Moda Feminina,209249,274.41,2144.0,797.0,338.0,231.0,,
Meta Ads,ALC | Moda masculina,210533,275.62,5455.0,1957.0,1071.0,716.0,,
Meta Ads,ALC - Lojas - Inauguração/ Gastronomia,198359,273.84,2737.0,1030.0,585.0,228.0,,
Meta Ads,ALC - Lojas - Diversão,74410,118.17,,,,,,
Meta Ads,ALC - Natal Noel Decor,119779,202.37,653.0,111.0,61.0,39.0,,
Meta Ads,ALC - NATAL 25,796413,969.43,6425.0,2409.0,1160.0,693.0,,
Meta Ads,TRAF - NATAL 25,206648,911.64,4627.0,2411.0,1588.0,898.0,,
Meta Ads,ALC - Senhora Farinha,116102,191.49,5924.0,3502.0,1294.0,309.0,,
Meta Ads,ALC - Cidadania Já,40390,64.4,511.0,150.0,74.0,26.0,,
