hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
0,Google Ads,593,3,1.020308,38.0,0.5059021922428331,0.34010266666666666
0,Google Ads,1255,0,3.072828,28.0,0.0,0.0
0,Google Ads,549,1,0.919651,12.0,0.18214936247723132,0.919651
0,Google Ads,280,0,0.899563,2.0,0.0,0.0
0,Google Ads,311,1,0.725422,2.0,0.3215434083601286,0.725422
0,Google Ads,31,4,0.759762,7.333333,12.903225806451612,0.1899405
0,Google Ads,35,3,0.35,0.0,8.571428571428571,0.11666666666666665
0,Google Ads,429,3,0.86941,8.0,0.6993006993006993,0.28980333333333336
0,Google Ads,268,0,0.745389,0.0,0.0,0.0
0,Google Ads,318,1,0.935224,0.0,0.3144654088050315,0.935224
0,Google Ads,353,0,0.845052,0.0,0.0,0.0
0,Google Ads,28,2,0.382686,5.0,7.142857142857142,0.191343
0,Google Ads,23,3,0.49,1.1875,13.043478260869565,0.16333333333333333
0,Google Ads,93,4,0.429967,0.0,4.301075268817205,0.10749175
0,Google Ads,57,1,0.117833,0.0,1.7543859649122806,0.117833
0,Google Ads,191,7,0.688607,0.0,3.664921465968586,0.09837242857142857
0,Google Ads,103,2,0.13413,0.0,1.9417475728155338,0.067065
0,Google Ads,439,18,3.726531,8.0,4.100227790432802,0.2070295
0,Google Ads,849,5,1.548342,14.0,0.5889281507656066,0.3096684
0,Google Ads,1047,2,2.158272,41.0,0.19102196752626552,1.079136
0,Google Ads,269,0,0.752444,0.0,0.0,0.0
0,Google Ads,198,9,4.214488,5.0,4.545454545454546,0.4682764444444445
0,Google Ads,203,0,0.365459,5.0,0.0,0.0
0,Google Ads,4278,5,11.795916,2.0,0.11687704534829359,2.3591832
0,Google Ads,991,1,2.875323,18.0,0.10090817356205853,2.875323
0,Google Ads,7,0,0.001811,0.0,0.0,0.0
0,Google Ads,226,0,0.678879,1.0,0.0,0.0
0,Google Ads,294,1,0.48557,0.0,0.3401360544217687,0.48557
0,Google Ads,169,0,0.484762,1.0,0.0,0.0
0,Google Ads,173,0,0.614737,2.0,0.0,0.0
0,Google Ads,197,0,0.707751,1.0,0.0,0.0
