plataforma,dispositivo,impressoes,cliques,custo,conversoes,sessoes,usuarios,ctr
Google Ads,DESKTOP,2,0,0.001378,0.0,,,0.0
Google Ads,DESKTOP,1566,5,1.898174,33.0,,,0.31928480204342274
Google Ads,DESKTOP,1138,1,1.965698,63.0,,,0.08787346221441124
Google Ads,DESKTOP,5,0,0.018473,0.0,,,0.0
Google Ads,DESKTOP,260,0,0.565707,0.0,,,0.0
Google Ads,DESKTOP,14,1,0.02,0.0,,,7.142857142857142
Google Ads,DESKTOP,428,1,0.813641,8.0,,,0.23364485981308408
Google Ads,DESKTOP,159,0,0.40933,0.0,,,0.0
Google Ads,DESKTOP,81,2,0.04,3.0,,,2.4691358024691357
Google Ads,DESKTOP,64,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,631,2,0.618273,13.0,,,0.31695721077654515
Google Ads,DESKTOP,1018,1,1.782938,38.0,,,0.09823182711198428
Google Ads,DESKTOP,640,0,0.795155,13.0,,,0.0
Google Ads,DESKTOP,13,0,0.044686,0.0,,,0.0
Google Ads,DESKTOP,30,0,0.096056,0.0,,,0.0
Google Ads,DESKTOP,103,2,0.157387,1.0,,,1.9417475728155338
Google Ads,DESKTOP,58,1,0.046296,1.0,,,1.7241379310344827
Google Ads,DESKTOP,1109,1,1.731577,20.0,,,0.09017132551848511
Google Ads,DESKTOP,15,0,0.048432,0.0,,,0.0
Google Ads,DESKTOP,13,0,0.032428,0.0,,,0.0
Google Ads,DESKTOP,28,0,0.05306,0.0,,,0.0
Google Ads,DESKTOP,68,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,38,3,0.26,5.323077,,,7.894736842105263
Google Ads,DESKTOP,1,0,0.000727,0.0,,,0.0
Google Ads,DESKTOP,2,0,0.00226,0.0,,,0.0
Google Ads,DESKTOP,1315,3,1.612399,17.0,,,0.22813688212927757
Google Ads,DESKTOP,1109,3,1.757832,37.0,,,0.2705139765554554
Google Ads,DESKTOP,9,0,0.023422,0.0,,,0.0
Google Ads,DESKTOP,148,0,0.29109,0.0,,,0.0
Google Ads,DESKTOP,16,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,649,2,1.09366,14.0,,,0.30816640986132515
Google Ads,DESKTOP,235,0,0.577926,0.0,,,0.0
Google Ads,DESKTOP,51,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,47,1,0.08,1.0,,,2.127659574468085
Google Ads,DESKTOP,503,3,0.501883,7.0,,,0.5964214711729622
Google Ads,DESKTOP,658,4,1.369462,12.0,,,0.60790273556231
Google Ads,DESKTOP,547,2,0.756238,7.0,,,0.3656307129798903
Google Ads,DESKTOP,15,0,0.033353,0.0,,,0.0
Google Ads,DESKTOP,30,0,0.089853,0.0,,,0.0
Google Ads,DESKTOP,58,1,0.25,0.0,,,1.7241379310344827
Google Ads,DESKTOP,25,5,1.542852,1.0,,,20.0
Google Ads,DESKTOP,998,3,1.525072,8.0,,,0.30060120240480964
Google Ads,DESKTOP,24,0,0.06236,0.0,,,0.0
Google Ads,DESKTOP,19,0,0.061911,0.0,,,0.0
Google Ads,DESKTOP,25,0,0.043262,0.0,,,0.0
Google Ads,DESKTOP,34,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,25,2,0.04,1.0,,,8.0
Google Ads,DESKTOP,2,0,0.00135,0.0,,,0.0
Google Ads,DESKTOP,929,5,1.269028,9.0,,,0.5382131324004306
Google Ads,DESKTOP,853,4,1.42805,23.0,,,0.4689331770222743
Google Ads,DESKTOP,14,0,0.027735,0.0,,,0.0
Google Ads,DESKTOP,3,0,0.002988,0.0,,,0.0
Google Ads,DESKTOP,226,0,0.490308,0.0,,,0.0
Google Ads,DESKTOP,6,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,295,0,0.421238,3.0,,,0.0
Google Ads,DESKTOP,121,0,0.28828,0.0,,,0.0
Google Ads,DESKTOP,44,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,22,0,0.0,0.0,,,0.0
Google Ads,DESKTOP,476,3,0.446855,6.0,,,0.6302521008403361
