ano,semana,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2026,11,Google Ads,896190,31801,11632.19745,28057.838985000002,4.113854,0.0003536609499351303,0.4145792359924329,3.5484662850511612
2026,11,Meta Ads,9223140,10551,13656.26,5629.0,0.0,0.0,2.426054361343045,0.11439704916113168
2026,11,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,12,Google Ads,1614328,69235,8388.096355,22223.574948,34.495152,0.004112393389405694,0.37744136011541574,4.288781462007721
2026,12,Meta Ads,7412164,9870,10597.18,6358.0,0.0,0.0,1.6667474048442907,0.13315949296318863
2026,12,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,13,Google Ads,1656709,48369,10395.780982,39217.890715,11.5,0.001106217995541838,0.26507751417706504,2.919583342638931
2026,13,Meta Ads,5008522,8237,7528.02,5110.0,0.0,0.0,1.4731937377690802,0.16445969489601922
2026,13,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,14,Google Ads,1806941,52169,11385.612411,48519.293923,20.5,0.0018005179923562392,0.23466154369577058,2.8871446273010575
2026,14,Meta Ads,5116655,19290,8044.74,12098.0,0.0,0.0,0.6649644569350306,0.3770041169474979
2026,14,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,15,Google Ads,2886085,67226,14500.055986,58187.514001999996,46.366703,0.003197691308555476,0.24919531680802878,2.3293146251756274
2026,15,Meta Ads,6580127,30195,11356.84,23902.0,0.0,0.0,0.4751418291356372,0.4588817206719566
2026,15,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,16,Google Ads,3383983,47629,16066.805036,62785.702925,52.317721,0.0032562616452228416,0.25589910262201626,1.4074834300290515
2026,16,Meta Ads,6416383,30959,11207.65,25608.0,0.0,0.0,0.4376620587316463,0.4824992523046084
2026,17,Google Ads,1029902,44311,4921.574058,33970.166204,29.879449,0.006071116404604553,0.14487930463585671,4.302448194100021
2026,17,Meta Ads,5779718,20429,8856.64,15709.0,0.0,0.0,0.5637940034375198,0.3534601515160428
2026,18,Google Ads,1217403,45898,6412.535283,36934.020612,154.70712267599998,0.024125734338825,0.17362137066974354,3.770156636709455
2026,18,Meta Ads,3685456,19246,6922.6900000000005,16544.0,0.0,0.0,0.41844112669245653,0.5222148900977247
2026,18,TikTok Ads,139533,7827,346.39,7827.0,0.0,0.0,0.04425578126996295,5.609425727247317
2026,19,Google Ads,1058613,22258,10494.033107,27017.973805,135.57476749699998,0.012919224297716901,0.3884093301274114,2.1025625039556477
2026,19,Meta Ads,4253460,12145,7364.969999999999,9926.0,0.0,0.0,0.7419877090469473,0.2855322490396054
2026,19,TikTok Ads,217607,11632,613.4300000000001,11632.0,0.0,0.0,0.05273641678129299,5.345416277968999
2026,20,Google Ads,495412,39978,3971.3342350000003,28542.211692,131.497397085,0.033111641907672365,0.13913898046356063,8.069647081620953
2026,20,TikTok Ads,14266,723,40.18,723.0,0.0,0.0,0.05557399723374827,5.067993831487453
2026,21,Google Ads,433657,36173,4395.399465,25466.484729,53.910118,0.012265123666069334,0.17259545287751207,8.341385011656678
2026,21,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026,22,Google Ads,2322717,58647,16414.101518,44417.181044000004,178.93621,0.010901370982979197,0.36954397222417296,2.5249309321798563
2026,22,TikTok Ads,109051,5597,302.23,5597.0,0.0,0.0,0.05399857066285511,5.1324609586340335
2026,23,Google Ads,1539000,41537,13757.024129000001,32794.400057,116.094449822,0.008438921727066777,0.41949308738958163,2.6989603638726445
2026,23,TikTok Ads,207011,12970,531.19,12970.0,0.0,0.0,0.040955281418658444,6.265367540855317
