data,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2025-12-27,GERAL,GERAL,Google Ads,161880,2602,777.5939910000001,5914.100001,10.0,0.012860181683168381,0.13148137347500358,1.607363479120336
2025-12-28,BS,BS,Meta Ads,84833,647,134.96,0.0,0.0,0.0,0.0,0.7626749024554124
2025-12-28,GS,GS,Meta Ads,159548,408,218.19000000000003,0.0,0.0,0.0,0.0,0.2557224158247048
2025-12-28,NR,NR,Meta Ads,100943,614,122.83999999999999,0.0,0.0,0.0,0.0,0.6082640698215824
2025-12-28,NS,NS,Meta Ads,159028,794,210.26,0.0,0.0,0.0,0.0,0.4992831451065221
2025-12-28,GERAL,GERAL,Google Ads,167823,2676,822.326152,5747.143884,11.0,0.013376687550610698,0.14308431607034391,1.5945371015891743
2025-12-28,CS,CS,Meta Ads,379757,1350,527.71,0.0,0.0,0.0,0.0,0.35549048470469274
2025-12-29,BS,BS,Meta Ads,79359,638,127.13999999999999,0.0,0.0,0.0,0.0,0.8039415819251754
2025-12-29,CS,CS,Meta Ads,330490,1093,430.08000000000004,0.0,0.0,0.0,0.0,0.3307210505612878
2025-12-29,GS,GS,Meta Ads,145583,422,200.34,0.0,0.0,0.0,0.0,0.2898690094310462
2025-12-29,NR,NR,Meta Ads,93853,596,113.02999999999999,0.0,0.0,0.0,0.0,0.6350356408425943
2025-12-29,NS,NS,Meta Ads,149050,715,194.43,0.0,0.0,0.0,0.0,0.4797047970479705
2025-12-29,GERAL,GERAL,Google Ads,161702,3175,813.1761250000001,6757.125168999999,15.0,0.01844618839491875,0.12034350476895837,1.9634883922276782
2025-12-30,NR,NR,Meta Ads,90732,473,110.85999999999999,0.0,0.0,0.0,0.0,0.521315522638099
2025-12-30,CS,CS,Meta Ads,307358,1148,444.12,0.0,0.0,0.0,0.0,0.37350581406698374
2025-12-30,BS,BS,Meta Ads,77315,573,125.81,0.0,0.0,0.0,0.0,0.7411239733557524
2025-12-30,GERAL,GERAL,Google Ads,176257,3027,738.3703449999999,6704.115073,10.0,0.013543339149136604,0.11013688413161281,1.7173786005662186
2025-12-30,NS,NS,Meta Ads,145808,734,194.62999999999997,0.0,0.0,0.0,0.0,0.5034017337868979
2025-12-30,GS,GS,Meta Ads,145086,387,201.55000000000004,0.0,0.0,0.0,0.0,0.2667383482899798
2025-12-31,BS,BS,Meta Ads,88835,598,125.13999999999999,0.0,0.0,0.0,0.0,0.6731581020993977
2025-12-31,CS,CS,Meta Ads,194991,879,294.22999999999996,0.0,0.0,0.0,0.0,0.45079003646322136
2025-12-31,GS,GS,Meta Ads,139537,410,181.44,0.0,0.0,0.0,0.0,0.2938288769286999
2025-12-31,NR,NR,Meta Ads,109507,676,121.58999999999999,0.0,0.0,0.0,0.0,0.6173121352972869
2025-12-31,NS,NS,Meta Ads,105682,642,137.22999999999996,0.0,0.0,0.0,0.0,0.6074828258359986
2025-12-31,GERAL,GERAL,Google Ads,151027,2352,622.133309,4273.719378,7.0,0.011251607812562885,0.14557186702584665,1.5573374297311076
2026-01-01,GERAL,GERAL,Google Ads,136922,2773,650.5454030000001,4066.975094,6.0,0.009223030356268614,0.15995804940132247,2.0252406479601524
2026-01-01,NS,NS,Meta Ads,136119,923,130.33999999999997,0.0,0.0,0.0,0.0,0.6780831478338806
2026-01-01,BS,BS,Meta Ads,142548,916,141.78,0.0,0.0,0.0,0.0,0.642590565984791
2026-01-01,CS,CS,Meta Ads,253779,799,252.23,0.0,0.0,0.0,0.0,0.31484086547744294
2026-01-01,GS,GS,Meta Ads,192902,546,179.60000000000002,0.0,0.0,0.0,0.0,0.28304527687634135
2026-01-01,NR,NR,Meta Ads,156776,806,114.14999999999999,0.0,0.0,0.0,0.0,0.5141093024442517
2026-01-02,GERAL,GERAL,Google Ads,609,13,6.021053,23.0,0.0,0.0,0.2617849130434783,2.134646962233169
2026-01-02,CS,CS,Meta Ads,218529,724,257.34,0.0,0.0,0.0,0.0,0.33130614243418494
2026-01-02,BS,BS,Meta Ads,107515,761,118.51,0.0,0.0,0.0,0.0,0.7078082128075153
2026-01-02,GS,GS,Meta Ads,155327,513,157.83,0.0,0.0,0.0,0.0,0.3302709767136428
2026-01-02,NR,NR,Meta Ads,131269,647,105.88,0.0,0.0,0.0,0.0,0.4928810305555767
2026-01-02,NS,NS,Meta Ads,109787,741,112.52,0.0,0.0,0.0,0.0,0.674943299297731
2026-01-03,GERAL,GERAL,Google Ads,630,10,4.978249,22.0,0.0,0.0,0.22628404545454545,1.5873015873015872
2026-01-03,NR,NR,Meta Ads,138932,671,117.21999999999998,0.0,0.0,0.0,0.0,0.48297008608527914
2026-01-03,GS,GS,Meta Ads,163303,534,179.32000000000002,0.0,0.0,0.0,0.0,0.32699950398951644
2026-01-03,NS,NS,Meta Ads,116212,793,131.32999999999998,0.0,0.0,0.0,0.0,0.6823735930884934
2026-01-03,BS,BS,Meta Ads,119204,757,137.04000000000002,0.0,0.0,0.0,0.0,0.6350458038320862
2026-01-03,CS,CS,Meta Ads,239900,790,276.84000000000003,0.0,0.0,0.0,0.0,0.32930387661525634
2026-01-04,BS,BS,Meta Ads,108572,685,127.45,0.0,0.0,0.0,0.0,0.6309177320119368
