stat_time_day,campaign_id,impressions,total_complete_payment_rate,shares,follows,clicks_on_music_disc,cpm,conversion,conversion_rate,cpc,profile_visits,likes,clicks,ctr,spend,cost_per_conversion,comments,shopping,shopping_sigla,campaign_name,objective_type
2025-04-28 00:00:00,1828314519850002,2100,0.0,0,0,0,1.57,0,0.0,0.0,4,3,0,0.0,3.3,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-05-08 00:00:00,1830746252922946,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance - Me nota Way,REACH
2025-05-06 00:00:00,1830745925410866,11504,0.0,0,1,0,2.48,0,0.0,0.0,30,8,0,0.0,28.53,0.0,0,Nacoes Shopping,NS,ALC - Promo mães,REACH
2025-05-22 00:00:00,1832310190695458,4535,0.0,1,6,0,1.68,0,0.0,0.0,9,18,0,0.0,7.63,0.0,0,Nacoes Shopping,NS,Alcance - Balde Stich,REACH
2025-04-24 00:00:00,1828314519850002,3740,0.0,0,1,0,1.48,0,0.0,0.0,6,5,0,0.0,5.53,0.0,0,Nacoes Shopping,NS,Alcance | Abr,REACH
2025-05-15 00:00:00,1832195984469169,3604,0.0,1,0,0,1.37,0,0.0,0.0,10,9,0,0.0,4.92,0.0,1,Nacoes Shopping,NS,ALC - Boliche,REACH
2025-05-04 00:00:00,1830747281548321,1867,0.0,1,16,0,6.24,0,0.0,0.0,10,34,0,0.0,11.65,0.0,2,Nacoes Shopping,NS,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT
2025-05-20 00:00:00,1831563577497601,30054,0.0,0,4,0,2.42,0,0.0,1.43,14,33,51,0.17,72.76,0.0,1,Nacoes Shopping,NS,Alcance - Promo mães,REACH
2025-05-07 00:00:00,1830747281548321,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Interação com a comunidade | Conteúdos abr - mai,ENGAGEMENT
2025-04-30 00:00:00,1828407150156946,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Alcance | Dino,REACH
2025-05-18 00:00:00,1832195369412610,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,Nacoes Shopping,NS,Reach - show beatles,REACH
2025-05-10 00:00:00,1831563577497601,32278,0.0,1,2,0,2.23,0,0.0,1.33,24,34,54,0.17,71.89,0.0,1,Nacoes Shopping,NS,Alcance - Promo mães,REACH
