stat_time_day,engaged_view_15s,engaged_view,profile_visits,spend,ctr,video_watched_6s,video_views_p75,cost_per_conversion,average_video_play,video_watched_2s,conversion_rate,video_views_p100,total_complete_payment_rate,video_play_actions,clicks,video_views_p25,cpm,cpc,video_views_p50,comments,conversion,impressions,shares,follows,clicks_on_music_disc,likes,average_video_play_per_user,shopping,shopping_sigla
2025-08-24 00:00:00,78,223,26,27.39,0.0,225,41,0.0,1.29,1177,0.0,21,0.0,12943,0,151,2.1,0.0,66,3,0,13012,0,3,0,13,1.99,Nacoes Shopping,NS
2025-08-30 00:00:00,275,720,56,53.24,0.0,714,75,0.0,1.71,2783,0.0,38,0.0,23578,0,383,2.25,0.0,137,4,0,23691,1,15,0,64,2.86,Nacoes Shopping,NS
2025-08-25 00:00:00,66,216,10,22.79,0.0,216,34,0.0,1.36,1014,0.0,18,0.0,9777,0,125,2.32,0.0,53,0,0,9838,0,1,0,7,1.96,Nacoes Shopping,NS
2025-08-20 00:00:00,108,394,25,32.31,0.0,398,56,0.0,1.45,1647,0.0,34,0.0,13694,0,258,2.35,0.0,92,1,0,13772,0,5,0,11,2.15,Nacoes Shopping,NS
2025-08-15 00:00:00,112,346,23,34.75,0.0,350,57,0.0,1.32,1548,0.0,34,0.0,16682,0,225,2.07,0.0,90,8,0,16791,1,0,0,13,2.03,Nacoes Shopping,NS
2025-09-09 00:00:00,141,397,50,56.68,0.0,403,80,0.0,1.26,1870,0.0,42,0.0,24144,0,379,2.33,0.0,159,0,0,24327,0,5,0,18,1.43,Nacoes Shopping,NS
2025-09-04 00:00:00,270,662,35,43.13,0.0,654,68,0.0,1.69,2545,0.0,36,0.0,17251,0,353,2.48,0.0,156,1,0,17421,5,21,0,58,2.22,Nacoes Shopping,NS
2025-09-02 00:00:00,348,839,47,41.98,0.0,823,84,0.0,1.73,3041,0.0,45,0.0,19819,0,396,2.1,0.0,159,2,0,20001,2,17,0,58,2.27,Nacoes Shopping,NS
2025-09-07 00:00:00,210,526,46,42.0,0.0,517,64,0.0,1.79,2205,0.0,39,0.0,18768,0,293,2.22,0.0,133,1,0,18881,2,10,0,37,2.37,Nacoes Shopping,NS
2025-08-28 00:00:00,60,198,18,25.42,0.0,200,30,0.0,1.24,979,0.0,20,0.0,11249,0,136,2.25,0.0,46,0,0,11318,0,3,0,6,1.95,Nacoes Shopping,NS
2025-08-23 00:00:00,101,296,29,29.35,0.0,294,48,0.0,1.46,1219,0.0,23,0.0,12888,0,190,2.26,0.0,78,7,0,12960,0,2,0,12,2.24,Nacoes Shopping,NS
2025-08-18 00:00:00,128,364,31,32.09,0.0,362,67,0.0,1.38,1561,0.0,36,0.0,14890,0,243,2.14,0.0,104,5,0,14995,2,3,0,12,2.0,Nacoes Shopping,NS
2025-08-13 00:00:00,184,546,47,35.27,0.0,540,91,0.0,1.47,2100,0.0,52,0.0,16820,0,371,2.08,0.0,146,5,0,16950,0,8,0,35,2.14,Nacoes Shopping,NS
2025-08-19 00:00:00,134,415,25,32.88,0.0,411,70,0.0,1.45,1691,0.0,39,0.0,14436,0,266,2.26,0.0,116,1,0,14522,1,3,0,17,2.13,Nacoes Shopping,NS
2025-08-14 00:00:00,109,379,37,34.89,0.0,375,48,0.0,1.31,1726,0.0,30,0.0,18031,0,238,1.92,0.0,89,0,0,18134,1,4,0,13,2.1,Nacoes Shopping,NS
2025-08-31 00:00:00,254,621,53,45.57,0.0,620,68,0.0,1.5,2588,0.0,44,0.0,20646,0,326,2.2,0.0,142,3,0,20752,1,11,0,50,2.23,Nacoes Shopping,NS
2025-08-26 00:00:00,50,197,14,22.59,0.0,194,23,0.0,1.35,958,0.0,15,0.0,9587,0,121,2.34,0.0,40,0,0,9640,0,1,0,8,1.97,Nacoes Shopping,NS
2025-08-21 00:00:00,74,269,22,30.41,0.0,271,37,0.0,1.32,1221,0.0,20,0.0,13772,0,180,2.19,0.0,56,0,0,13859,1,2,0,8,2.11,Nacoes Shopping,NS
2025-09-10 00:00:00,133,434,49,76.72,0.0,435,128,0.0,1.18,1987,0.0,86,0.0,29982,0,565,2.54,0.0,239,1,0,30245,0,4,0,13,1.25,Nacoes Shopping,NS
2025-09-05 00:00:00,225,582,36,44.79,0.0,578,65,0.0,1.46,2486,0.0,32,0.0,20082,0,330,2.21,0.0,131,0,0,20232,1,25,0,44,1.84,Nacoes Shopping,NS
2025-08-16 00:00:00,137,410,38,35.97,0.0,417,64,0.0,1.5,1642,0.0,33,0.0,17172,0,295,2.08,0.0,118,2,0,17279,0,1,0,19,2.33,Nacoes Shopping,NS
2025-10-07 00:00:00,69,222,23,38.01,0.0,224,28,0.0,1.26,1399,0.0,15,0.0,16926,0,142,2.23,0.0,56,0,0,17068,0,2,0,6,2.19,Nacoes Shopping,NS
2025-10-02 00:00:00,96,284,21,40.75,0.0,284,47,0.0,1.33,1612,0.0,29,0.0,18515,0,199,2.18,0.0,87,1,0,18686,0,0,0,13,2.46,Nacoes Shopping,NS
2025-09-16 00:00:00,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,Nacoes Shopping,NS
2025-09-11 00:00:00,126,365,51,77.44,0.0,369,127,0.0,1.38,1814,0.0,77,0.0,28628,0,519,2.68,0.0,204,0,0,28863,0,1,0,16,1.43,Nacoes Shopping,NS
2025-10-06 00:00:00,71,231,17,37.39,0.0,239,32,0.0,1.56,1384,0.0,23,0.0,17806,0,143,2.09,0.0,60,0,0,17926,0,1,0,12,2.82,Nacoes Shopping,NS
2025-10-01 00:00:00,112,289,31,40.19,0.0,298,37,0.0,1.29,1646,0.0,22,0.0,18930,0,192,2.1,0.0,78,1,0,19121,0,2,0,17,2.5,Nacoes Shopping,NS
2025-09-26 00:00:00,25,91,3,20.15,0.0,91,15,0.0,1.1,505,0.0,8,0.0,8756,0,51,2.29,0.0,23,0,0,8799,0,0,0,6,3.31,Nacoes Shopping,NS
2025-09-13 00:00:00,55,133,21,30.17,0.0,140,57,0.0,1.23,704,0.0,37,0.0,10184,0,193,2.94,0.0,77,1,0,10275,0,1,0,10,1.23,Nacoes Shopping,NS
2025-09-18 00:00:00,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,Nacoes Shopping,NS
2025-10-08 00:00:00,69,215,25,37.29,0.0,215,31,0.0,1.22,1281,0.0,19,0.0,15824,0,137,2.33,0.0,56,1,0,15995,0,3,0,8,2.11,Nacoes Shopping,NS
2025-10-03 00:00:00,79,260,20,40.83,0.0,264,33,0.0,1.22,1527,0.0,16,0.0,19177,0,165,2.11,0.0,60,0,0,19340,0,1,0,15,2.13,Nacoes Shopping,NS
2025-09-28 00:00:00,65,190,14,42.78,0.0,191,29,0.0,1.17,1159,0.0,17,0.0,18174,0,120,2.34,0.0,42,1,0,18281,1,0,0,9,2.8,Nacoes Shopping,NS
2025-09-17 00:00:00,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,Nacoes Shopping,NS
2025-09-27 00:00:00,52,191,23,42.29,0.0,196,26,0.0,1.13,1073,0.0,13,0.0,17373,0,125,2.42,0.0,51,0,0,17467,0,0,0,2,3.06,Nacoes Shopping,NS
2025-09-12 00:00:00,119,380,48,76.17,0.0,381,116,0.0,1.19,1901,0.0,70,0.0,27105,0,521,2.78,0.0,200,0,0,27360,2,5,0,20,1.22,Nacoes Shopping,NS
2025-09-14 00:00:00,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,Nacoes Shopping,NS
2025-10-09 00:00:00,86,250,31,36.76,0.0,253,41,0.0,1.36,1254,0.0,20,0.0,15832,0,167,2.3,0.0,70,0,0,15966,0,2,0,3,2.36,Nacoes Shopping,NS
2025-10-04 00:00:00,78,251,36,38.47,0.0,252,33,0.0,1.18,1389,0.0,19,0.0,19208,0,149,1.99,0.0,63,0,0,19342,0,0,0,6,2.32,Nacoes Shopping,NS
2025-09-29 00:00:00,71,195,15,42.54,0.0,199,30,0.0,1.2,1203,0.0,15,0.0,16986,0,130,2.49,0.0,59,0,0,17102,0,1,0,9,2.51,Nacoes Shopping,NS
2025-09-15 00:00:00,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,Nacoes Shopping,NS
2025-10-05 00:00:00,67,227,34,37.51,0.0,234,34,0.0,1.19,1365,0.0,21,0.0,19115,0,159,1.95,0.0,61,0,0,19237,0,0,0,6,2.28,Nacoes Shopping,NS
2025-09-30 00:00:00,59,222,8,41.56,0.0,229,25,0.0,1.21,1240,0.0,13,0.0,16456,0,139,2.51,0.0,60,0,0,16584,0,0,0,9,2.39,Nacoes Shopping,NS
2025-10-10 00:00:00,73,233,29,37.58,0.0,232,34,0.0,1.19,1201,0.0,19,0.0,17441,0,155,2.14,0.0,57,0,0,17566,0,3,0,16,2.11,Nacoes Shopping,NS
2025-11-07 00:00:00,481,1496,45,59.9,0.04,1657,420,0.0,2.27,4570,0.0,202,0.0,20307,8,1581,2.93,7.49,656,3,0,20477,0,13,0,68,3.5,Nacoes Shopping,NS
2025-11-02 00:00:00,851,2733,58,68.81,0.08,2979,794,0.0,2.48,7458,0.0,404,0.0,27603,21,3016,2.48,3.28,1274,1,0,27761,2,13,0,97,3.77,Nacoes Shopping,NS
2025-10-23 00:00:00,37,109,13,22.95,0.0,106,13,0.0,1.14,571,0.0,8,0.0,8926,0,86,2.55,0.0,24,0,0,8995,0,0,0,10,1.8,Nacoes Shopping,NS
2025-10-11 00:00:00,63,202,31,34.72,0.0,201,27,0.0,1.14,1118,0.0,17,0.0,16977,0,133,2.03,0.0,56,0,0,17101,0,2,0,6,2.29,Nacoes Shopping,NS
2025-10-16 00:00:00,63,187,23,33.14,0.0,189,24,0.0,1.21,1024,0.0,15,0.0,13816,0,123,2.38,0.0,41,0,0,13915,1,0,0,8,2.07,Nacoes Shopping,NS
2025-11-05 00:00:00,716,2287,56,67.83,0.06,2502,625,0.0,2.4,6410,0.0,296,0.0,24994,16,2468,2.69,4.24,994,4,0,25235,2,12,0,125,3.39,Nacoes Shopping,NS
2025-10-31 00:00:00,774,2521,87,77.64,0.04,2748,690,0.0,2.46,6432,0.0,330,0.0,25445,9,2598,3.03,8.63,1079,4,0,25618,2,20,0,132,4.13,Nacoes Shopping,NS
