adgroup_id,adgroup_name,campaign_id,status,budget,placement_type,optimization_goal,bid_type,shopping,shopping_sigla
1807304516749313,NSpromopais24+treatment+RVQeM ,1807304475777041,ENABLE,600.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_NO_BID,Nacoes Shopping,NS
1806749886437426,NSpromopais24+treatment+NaqQY ,1806749763596289,ENABLE,75.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_NO_BID,Nacoes Shopping,NS
1806749729237105,NSpromopais24,1806749763596289,ENABLE,75.0,PLACEMENT_TYPE_AUTOMATIC,CLICK,BID_TYPE_NO_BID,Nacoes Shopping,NS
1803766174667810,NSmalvado24,1803766128488498,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_NO_BID,Nacoes Shopping,NS
1800846239964161,NSnamorados24,1800846207854594,ENABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_NO_BID,Nacoes Shopping,NS
1800601151224833,NSnamorados24,1800600888459297,DISABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_NO_BID,Nacoes Shopping,NS
1797496123752449,NS Maes 24,1797496106400786,DISABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_NO_BID,Nacoes Shopping,NS
1793884802078753,Musical Páscoa 24,1793884858893329,DISABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_NO_BID,Nacoes Shopping,NS
1793877161241665,Gigante em diversão,1793877151496257,DISABLE,300.0,PLACEMENT_TYPE_NORMAL,FOLLOWERS,BID_TYPE_NO_BID,Nacoes Shopping,NS
1790987043034114,NS Castelo Inflável,1790987037231105,DISABLE,25.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_NO_BID,Nacoes Shopping,NS
1788460577402913,Grupo de anúncios 20240118050211,1788460577402897,DISABLE,0.0,PLACEMENT_TYPE_NORMAL,ENGAGED_VIEW,BID_TYPE_CUSTOM,Nacoes Shopping,NS
