shopping,shopping_sigla,grupo_anuncio,keyword,match_type,quality_score,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,7.0,2026-01-18,496,75,0.15120967741935484,0.4529968933333333,33.974767,17.0,0.0
GERAL,GERAL,Grupo de anúncios 1,neumarkt shopping,BROAD,7.0,2025-12-14,299,55,0.18394648829431437,0.610179909090909,33.559895,72.898815,0.0
GERAL,GERAL,NS_Search,shopping,BROAD,8.0,2026-03-07,1070,266,0.2485981308411215,0.1250019736842105,33.250525,2.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping blumenau,BROAD,7.0,2025-12-13,693,85,0.12265512265512266,0.3906594588235294,33.206054,101.131019,0.0
GERAL,GERAL,Narbona - Genérico Awareness,shopping continente,BROAD,8.0,2026-02-25,75,27,0.36,1.227037,33.129999,25.833333,0.0
GERAL,GERAL,Grupo de anúncios 1,loja garten shopping,BROAD,6.0,2025-12-13,276,43,0.15579710144927536,0.7691148604651163,33.071939,56.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping criciuma,BROAD,8.0,2025-12-12,209,41,0.19617224880382775,0.806010243902439,33.04642,45.0,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-17,401,73,0.18204488778054864,0.4498001369863014,32.83541,22.14116,0.0
GERAL,GERAL,Grupo de anúncios 1,shopping,BROAD,8.0,2026-01-13,1329,247,0.18585402558314523,0.13290642105263156,32.827886,65.685185,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema shopping balneario camboriu,BROAD,9.0,2026-02-07,243,55,0.22633744855967078,0.5963043636363636,32.79674,68.189791,0.0
GERAL,GERAL,Narbona - Alta intenção,shopping continente são josé,BROAD,7.0,2026-01-23,133,27,0.20300751879699247,1.200979148148148,32.426437,29.6,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema naçoes shopping,BROAD,8.0,2026-02-08,1224,424,0.3464052287581699,0.07593346226415094,32.195788,169.374551,0.0
GERAL,GERAL,NS_Search,nações shopping,BROAD,10.0,2026-03-07,761,212,0.278580814717477,0.14981627830188682,31.761051,0.0,0.0
GERAL,GERAL,Grupo de anúncios 1,lojas Continente shopping,BROAD,3.0,2025-12-13,418,65,0.15550239234449761,0.4841189538461539,31.467732,61.0,0.0
GERAL,GERAL,Narbona - Alta intenção,restaurante no continente shopping,BROAD,7.0,2025-12-29,390,77,0.19743589743589743,0.40773576623376623,31.395654,83.2625,0.0
GERAL,GERAL,Narbona - Genérico Awareness,shopping continente,BROAD,8.0,2026-03-05,89,25,0.2808988764044944,1.2470196,31.17549,3.0,0.0
GERAL,GERAL,Grupo de anúncios 1,cinema,BROAD,10.0,2026-02-05,579,202,0.3488773747841105,0.15264999504950494,30.835299,61.580302,0.0
