shopping,shopping_sigla,campanha_id,campanha,status,tipo_canal,estrategia_lance,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,cpa,impression_share,view_through_conv,todas_conversoes,valor_todas_conversoes,interacoes,taxa_interacao
GERAL,GERAL,24081766981,[PMAX - CARNES NOBRES - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-07,7253,189,0.026058182820901696,0.25472284656084654,48.142618,95.0,0.0,0.5067644,0.2067219152854512,0,283.0,0.0,189,0.026058182820901696
GERAL,GERAL,24147825497,[PMAX - LEGUEIROS - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-07,3510,88,0.02507122507122507,0.1035702159090909,9.114179,16.0,0.0,0.5696361875,0.5085714285714286,0,23.0,0.0,88,0.02507122507122507
GERAL,GERAL,24187241257,[INSCRIÇÕES BS NIGHT RUN],PAUSED,VIDEO,TARGET_CPM,2026-09-07,5637,13,0.0023061912364733014,4.931761615384615,64.112901,0.0,0.0,0.0,0.0,0,0.0,0.0,13,0.0023061912364733014
GERAL,GERAL,24198488801,[DEMAND GEN - NIGHT RUN BS],PAUSED,DEMAND_GEN,MAXIMIZE_CONVERSIONS,2026-09-07,38198,1362,0.035656317084664116,0.05649516226138033,76.946411,842.663264,842.663264,0.09131335645836341,0.0,0,845.663264,842.663264,1362,0.035656317084664116
GERAL,GERAL,24214909873,[PMAX - 26FIT - NR],ENABLED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,2026-09-07,2328,137,0.058848797250859106,0.16340512408759125,22.386502,75.0,0.0,0.29848669333333333,0.283982683982684,0,174.0,0.0,137,0.058848797250859106
GERAL,GERAL,19864983969,[SEARCH - AJFANS - BS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,1217,181,0.14872637633525063,0.23475433701657458,42.490535,82.0,0.0,0.5181772560975609,0.0999,0,158.0,0.0,181,0.14872637633525063
GERAL,GERAL,19897114487,[SEARCH - AJFANS - NK],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,6005,1391,0.23164029975020817,0.06432336951833213,89.473807,302.0,0.0,0.29627088410596025,0.4289570900824098,0,632.0,0.0,1391,0.23164029975020817
GERAL,GERAL,19897741874,[SEARCH - AJFANS - NS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,872,299,0.34288990825688076,0.14123904682274246,42.230475,49.0,0.0,0.8618464285714286,0.0999,0,112.0,0.0,299,0.34288990825688076
GERAL,GERAL,21623191643,[SEARCH - AJFANS - GS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,1322,351,0.26550680786686837,0.1240594188034188,43.544856,80.0,0.0,0.5443106999999999,0.0999,0,132.0,0.0,351,0.26550680786686837
GERAL,GERAL,21623213450,[SEARCH - AJFANS - NR],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,1187,176,0.14827295703454085,0.29005118181818185,51.049008,100.0,0.0,0.5104900800000001,0.11141804788213629,0,345.0,0.0,176,0.14827295703454085
GERAL,GERAL,21690592680,[SEARCH - AJFANS - CS],ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,2026-09-06,8092,2766,0.3418190805734058,0.02372052747650036,65.610979,204.0,0.0,0.3216224460784314,0.5679247680772652,0,572.336218,0.0,2766,0.3418190805734058
