shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,22,MONDAY,1024,180,0.17578125,17.645475,114.880952,1.0
GERAL,GERAL,23,MONDAY,559,110,0.1967799642218247,11.095816,65.566667,0.0
GERAL,GERAL,0,TUESDAY,477,116,0.2431865828092243,9.484269,75.35412,0.0
GERAL,GERAL,1,TUESDAY,237,46,0.1940928270042194,3.599079,27.4,0.0
GERAL,GERAL,2,TUESDAY,125,22,0.176,1.669546,17.1,0.0
GERAL,GERAL,3,TUESDAY,77,11,0.14285714285714285,0.726022,8.0,0.0
GERAL,GERAL,4,TUESDAY,82,15,0.18292682926829268,1.820415,7.5,0.0
GERAL,GERAL,5,TUESDAY,137,29,0.2116788321167883,2.672285,20.0,0.0
GERAL,GERAL,6,TUESDAY,411,76,0.18491484184914841,9.822621,58.775457,0.0
GERAL,GERAL,7,TUESDAY,909,172,0.18921892189218922,22.10297,163.575759,1.0
GERAL,GERAL,8,TUESDAY,1690,314,0.18579881656804734,34.999915,272.410679,0.0
GERAL,GERAL,9,TUESDAY,2641,480,0.1817493373722075,49.791118,448.241176,2.0
GERAL,GERAL,10,TUESDAY,3366,583,0.17320261437908496,66.858619,523.293911,2.0
GERAL,GERAL,11,TUESDAY,3808,733,0.19248949579831934,82.057873,735.911738,0.0
GERAL,GERAL,12,TUESDAY,4337,857,0.19760202905234034,91.423387,772.491665,2.0
GERAL,GERAL,13,TUESDAY,3880,771,0.19871134020618555,80.715174,669.43528,1.0
GERAL,GERAL,14,TUESDAY,3856,659,0.17090248962655602,76.579613,627.391453,1.0
GERAL,GERAL,15,TUESDAY,3865,679,0.17567917205692107,81.109904,616.851356,0.0
GERAL,GERAL,16,TUESDAY,3783,686,0.18133756278086174,75.622245,663.875003,1.0
GERAL,GERAL,17,TUESDAY,3921,742,0.18923743942871715,80.955852,672.409462,2.0
GERAL,GERAL,18,TUESDAY,3844,758,0.19719042663891778,80.075459,726.14337,1.0
GERAL,GERAL,19,TUESDAY,2832,579,0.2044491525423729,56.540594,609.465224,1.0
GERAL,GERAL,20,TUESDAY,1989,354,0.1779788838612368,34.2682,318.416119,0.0
GERAL,GERAL,21,TUESDAY,1456,269,0.18475274725274726,26.253985,175.166667,2.0
GERAL,GERAL,22,TUESDAY,841,152,0.1807372175980975,9.837659,106.864388,2.0
GERAL,GERAL,23,TUESDAY,522,100,0.19157088122605365,6.602997,70.150001,1.0
GERAL,GERAL,0,WEDNESDAY,479,85,0.17745302713987474,7.290622,39.95,0.0
GERAL,GERAL,1,WEDNESDAY,225,43,0.19111111111111112,4.311774,25.5,0.0
GERAL,GERAL,2,WEDNESDAY,129,22,0.17054263565891473,2.18763,15.2,0.0
GERAL,GERAL,3,WEDNESDAY,79,12,0.1518987341772152,0.828992,6.5,0.0
GERAL,GERAL,4,WEDNESDAY,56,12,0.21428571428571427,0.92243,13.0,0.0
GERAL,GERAL,5,WEDNESDAY,129,23,0.17829457364341086,2.661187,23.0,0.0
GERAL,GERAL,6,WEDNESDAY,346,73,0.21098265895953758,8.081132,66.3375,0.0
GERAL,GERAL,7,WEDNESDAY,815,147,0.18036809815950922,16.303786,137.666666,1.0
GERAL,GERAL,8,WEDNESDAY,1473,230,0.1561439239646979,25.880791,213.333331,0.0
GERAL,GERAL,9,WEDNESDAY,2253,373,0.16555703506435862,39.845635,308.562902,0.0
GERAL,GERAL,10,WEDNESDAY,2931,488,0.1664960764244285,60.897696,509.914586,1.0
GERAL,GERAL,11,WEDNESDAY,3180,614,0.19308176100628932,69.645641,642.734702,1.0
GERAL,GERAL,12,WEDNESDAY,3643,683,0.18748284381004665,76.843589,619.239916,0.0
GERAL,GERAL,13,WEDNESDAY,3538,670,0.18937252685132844,69.826222,618.284995,0.0
GERAL,GERAL,14,WEDNESDAY,3350,600,0.1791044776119403,69.088993,609.1829,1.0
GERAL,GERAL,15,WEDNESDAY,3343,579,0.17319772659288066,63.848713,718.212499,3.0
GERAL,GERAL,16,WEDNESDAY,3493,653,0.18694531920984828,74.982236,739.079166,4.0
GERAL,GERAL,17,WEDNESDAY,3795,662,0.17444005270092228,78.215181,720.915155,3.0
GERAL,GERAL,18,WEDNESDAY,3954,694,0.17551846231664137,77.300577,714.992294,1.0
GERAL,GERAL,19,WEDNESDAY,3450,633,0.18347826086956523,69.649494,659.223214,1.0
GERAL,GERAL,20,WEDNESDAY,2565,486,0.18947368421052632,52.616303,512.898874,2.0
GERAL,GERAL,21,WEDNESDAY,1772,303,0.17099322799097066,33.063127,234.208332,3.0
GERAL,GERAL,22,WEDNESDAY,1218,240,0.19704433497536947,18.942053,151.716298,0.0
GERAL,GERAL,23,WEDNESDAY,668,116,0.17365269461077845,9.970587,96.666667,0.0
GERAL,GERAL,0,THURSDAY,551,102,0.1851179673321234,9.95159,83.333333,0.0
GERAL,GERAL,1,THURSDAY,263,44,0.16730038022813687,3.758225,33.0,1.0
GERAL,GERAL,2,THURSDAY,158,29,0.18354430379746836,2.874342,19.833333,0.0
GERAL,GERAL,3,THURSDAY,77,22,0.2857142857142857,2.345743,20.333333,0.0
GERAL,GERAL,4,THURSDAY,90,18,0.2,1.476971,16.956522,0.0
GERAL,GERAL,5,THURSDAY,125,31,0.248,4.228747,28.0,0.0
GERAL,GERAL,6,THURSDAY,438,66,0.1506849315068493,7.316049,53.6875,1.0
GERAL,GERAL,7,THURSDAY,1031,172,0.16682832201745879,19.413236,129.307145,0.0
GERAL,GERAL,8,THURSDAY,1874,312,0.1664887940234792,36.828983,292.116671,1.0
GERAL,GERAL,9,THURSDAY,2866,460,0.16050244242847173,59.427033,469.546929,0.0
GERAL,GERAL,10,THURSDAY,3714,635,0.170974690360797,79.320325,832.900119,3.0
GERAL,GERAL,11,THURSDAY,4104,774,0.18859649122807018,96.081261,779.740577,2.0
GERAL,GERAL,12,THURSDAY,4466,898,0.20107478728168382,112.501116,921.659766,3.0
GERAL,GERAL,13,THURSDAY,4270,827,0.1936768149882904,87.848107,766.349618,0.0
GERAL,GERAL,14,THURSDAY,3867,757,0.19575898629428498,84.883622,743.834526,3.0
GERAL,GERAL,15,THURSDAY,3683,698,0.18951941352158566,80.695854,718.741062,1.0
GERAL,GERAL,16,THURSDAY,3854,697,0.18085106382978725,79.250415,699.200316,2.0
GERAL,GERAL,17,THURSDAY,4215,823,0.1952550415183867,95.920226,945.216394,0.0
GERAL,GERAL,18,THURSDAY,3880,800,0.20618556701030927,88.368095,881.741667,7.0
GERAL,GERAL,19,THURSDAY,3004,588,0.19573901464713714,71.717515,517.35238,1.0
GERAL,GERAL,20,THURSDAY,1957,398,0.20337250894225856,43.617044,346.587498,1.0
GERAL,GERAL,21,THURSDAY,1230,254,0.20650406504065041,24.601138,214.424241,5.0
GERAL,GERAL,22,THURSDAY,612,118,0.19281045751633988,10.392959,73.666667,1.0
GERAL,GERAL,23,THURSDAY,292,58,0.19863013698630136,6.348416,42.764088,0.0
GERAL,GERAL,0,FRIDAY,481,102,0.21205821205821207,9.523844,68.666666,0.0
GERAL,GERAL,1,FRIDAY,255,42,0.16470588235294117,4.729174,30.0,0.0
GERAL,GERAL,2,FRIDAY,154,28,0.18181818181818182,3.253387,25.0,1.0
GERAL,GERAL,3,FRIDAY,90,15,0.16666666666666666,1.65,9.5,0.0
GERAL,GERAL,4,FRIDAY,78,11,0.14102564102564102,1.53992,10.333334,0.0
GERAL,GERAL,5,FRIDAY,143,28,0.1958041958041958,3.358067,35.811111,0.0
GERAL,GERAL,6,FRIDAY,451,93,0.20620842572062084,11.281938,85.833333,0.0
GERAL,GERAL,7,FRIDAY,1038,174,0.1676300578034682,22.161438,149.559523,1.0
GERAL,GERAL,8,FRIDAY,1830,303,0.16557377049180327,37.072487,269.960147,1.0
GERAL,GERAL,9,FRIDAY,2868,497,0.17329149232914923,59.385485,451.806549,1.0
GERAL,GERAL,10,FRIDAY,3842,691,0.17985424258198854,84.856969,702.906646,2.0
GERAL,GERAL,11,FRIDAY,4273,791,0.185115843669553,98.820234,812.656982,2.0
GERAL,GERAL,12,FRIDAY,4714,953,0.20216376750106066,122.938012,975.29819,4.0
GERAL,GERAL,13,FRIDAY,4412,789,0.17883046237533998,95.458705,761.627648,3.0
GERAL,GERAL,14,FRIDAY,4214,785,0.18628381585192216,98.385362,811.531547,5.0
GERAL,GERAL,15,FRIDAY,3991,723,0.18115760461037334,93.543396,713.967271,2.0
GERAL,GERAL,16,FRIDAY,4023,739,0.18369376087496894,97.364471,717.27142,2.0
GERAL,GERAL,17,FRIDAY,4152,796,0.19171483622350674,105.336277,719.413323,0.0
GERAL,GERAL,18,FRIDAY,4134,825,0.1995645863570392,108.713728,796.24329,2.0
GERAL,GERAL,19,FRIDAY,3266,664,0.20330679730557258,75.259756,600.136742,2.0
GERAL,GERAL,20,FRIDAY,2181,430,0.19715726730857405,48.413118,401.479362,0.0
GERAL,GERAL,21,FRIDAY,1360,245,0.1801470588235294,31.658674,268.743479,2.0
GERAL,GERAL,22,FRIDAY,758,150,0.19788918205804748,17.434397,91.899999,0.0
GERAL,GERAL,23,FRIDAY,382,77,0.20157068062827224,8.609591,77.166667,0.0
