shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2026-01-21,247465,4888,0.019752288202372053,0.24846497626841244,1214.496804,6271.858703,14.0,0.011527407856398112,0.19364224570605734,0.30641119348438967
GERAL,GERAL,2026-01-22,244481,5124,0.0209586839059068,0.23742467115534738,1216.564015,5699.570174,8.0,0.006575897282314404,0.21344837906368058,0.310522206402425
GERAL,GERAL,2026-01-23,234361,4610,0.01967050831836355,0.2746762943600868,1266.257717,5892.481432,11.0,0.008687015172599339,0.21489379841290607,0.2881160293084412
GERAL,GERAL,2026-01-24,222947,5503,0.02468299640721786,0.231206714337634,1272.330549,6322.687047,15.0,0.011789389173897765,0.20123256766341102,0.280939586386582
GERAL,GERAL,2026-01-25,212033,5234,0.02468483679427259,0.22492012361482613,1177.231927,5126.936495,5.0,0.0042472514424084255,0.22961702922360852,0.31261919159030654
GERAL,GERAL,2026-01-26,242934,3932,0.016185466011344646,0.3029216820956256,1191.088054,5243.304063,9.0,0.007556116417905069,0.227163643322739,0.26611971342731683
GERAL,GERAL,2026-01-27,180186,4484,0.024885396201702686,0.22513885080285462,1009.522607,5416.856266,8.0,0.007924537741431679,0.18636688097789744,0.28586855151425905
GERAL,GERAL,2026-01-28,151654,4100,0.02703522491988342,0.23972640292682926,982.878252,4568.932697,11.0,0.011191620099047629,0.21512206836519307,0.26893977605164937
GERAL,GERAL,2026-01-29,144415,4590,0.031783402001177165,0.2139198,981.891882,5467.163813,11.0,0.011202862760810563,0.17959803576128916,0.2700054734537493
GERAL,GERAL,2026-01-30,141425,3586,0.025356195863531907,0.26941351645287226,966.11687,4752.561738,6.0,0.006210428765207257,0.2032833918337622,0.2444100921989731
GERAL,GERAL,2026-01-31,132304,5190,0.03922783891643488,0.19164056512524086,994.614533,5059.204321,15.0,0.015081219409449348,0.19659505129522126,0.3238053782162894
GERAL,GERAL,2026-02-01,126484,4847,0.03832105246513393,0.1847102601609243,895.290631,4208.816458,6.0,0.006701734377917332,0.21271790773823285,0.3234610630407911
GERAL,GERAL,2026-02-02,188433,4755,0.025234433459107482,0.30864730347003155,1467.617928,4708.559353,8.0,0.0054510099988367006,0.31169150009013386,0.2654736842105263
GERAL,GERAL,2026-02-03,574901,8872,0.015432222243481921,0.778907974188458,6910.471547,8683.417472,7.0,0.0010129554766836232,0.7958239448101017,0.2476815311760063
GERAL,GERAL,2026-02-04,529988,9855,0.018594760636089874,0.789230968746829,7777.871197,8759.602809,6.0,0.0007714193058782277,0.887925099641353,0.24491671453187824
GERAL,GERAL,2026-02-05,377631,3398,0.008998201948462917,1.379302634490877,4686.870352,7200.542295,4.0,0.0008534479726526047,0.6509051901902618,0.12824133890207626
